Date	Person	Exercise	Reps	Weight	Rep Range	Note	Set #
Pre-loaded	brian	Seated Leg Curl	6	145	r4_7		
Pre-loaded	brian	Seated Leg Curl	2	199	r1_3	Session 1 #12	
Pre-loaded	dad	Seated Leg Curl	10	100	r8_12		
Pre-loaded	dad	Seated Leg Curl	12	133	r8_12	Session 1 #7	
Pre-loaded	brian	Rotary Calf	14	478	r15_20	Session 4 #13	
Pre-loaded	brian	Rotary Calf	8	444	r8_12	Session 1 #12	
Pre-loaded	dad	Rotary Calf	8	376	r8_12	Session 4 #10	
Pre-loaded	dad	Rotary Calf	12	240	r8_12	Session 1 #6	
Pre-loaded	brian	Glute Master	10	218	r8_12		
Pre-loaded	dad	Glute Master	3	68	r1_3		
Pre-loaded	brian	Mid Row Machine	12	204	r8_12	#13	
Pre-loaded	dad	Mid Row Machine	9	130	r8_12	#6	
Pre-loaded	brian	Lat Pull-Down Machine (One Armed)	6	113	r4_7	#7	
Pre-loaded	dad	Lat Pull-Down Machine (One Armed)	8	57	r8_12	#3	
Pre-loaded	brian	Deltoid Fly Machine	10	70	r8_12		
Pre-loaded	dad	Deltoid Fly Machine	9	40	r8_12		
Pre-loaded	brian	Lateral Step Up	5	45 - 20in box	r4_7		
Pre-loaded	dad	Lateral Step Up	8	0 - 16in box	r8_12		
Pre-loaded	brian	One Leg Seated Leg Press	2	110	r1_3		
Pre-loaded	dad	One Leg Seated Leg Press	3	50	r1_3		
Pre-loaded	brian	Adductor Machine	12	90	r8_12	Session 4	
Pre-loaded	brian	Adductor Machine	6	110	r4_7	Session 1	
Pre-loaded	dad	Adductor Machine	8	90	r8_12	Session 4	
Pre-loaded	dad	Adductor Machine	8	60	r8_12	Session 1	
Pre-loaded	brian	Abductor Machine	10	130	r8_12		
Pre-loaded	dad	Abductor Machine	10	90	r8_12		
Pre-loaded	brian	One Arm Chest Press Machine	5	70	r4_7		
Pre-loaded	dad	One Arm Chest Press Machine	3	30	r1_3		
Pre-loaded	brian	One Arm Shoulder Press Machine	2	40	r1_3		
Pre-loaded	dad	One Arm Shoulder Press Machine	2	20	r1_3		
Pre-loaded	brian	Abdominal Machine	10	110	r8_12		
Pre-loaded	dad	Abdominal Machine	4	110	r4_7		
Pre-loaded	brian	45 Degree Hip Extension	10	60	r8_12		
Pre-loaded	dad	45 Degree Hip Extension	6	0	r4_7		
Pre-loaded	brian	Chin Up Machine	5	-145	r4_7		
Pre-loaded	dad	Chin Up Machine	8	-160	r8_12		
Pre-loaded	brian	Single Arm Cable Low Row	2	85	r1_3		
Pre-loaded	dad	Single Arm Cable Low Row	4	50	r4_7		
Pre-loaded	brian	Squatmax MD	5	315	r4_7		
Pre-loaded	dad	Squatmax MD	2	135	r1_3		
Pre-loaded	brian	Incline Press 30° Lever Arm	5	60	r4_7		
Pre-loaded	dad	Incline Press 30° Lever Arm	5	10	r4_7		
Pre-loaded	brian	Seated Lever Arm Shoulder Press	2	50	r1_3		
Pre-loaded	dad	Seated Lever Arm Shoulder Press	8	0	r8_12		
Pre-loaded	brian	Chest Supported Row	6	115	r4_7		
Pre-loaded	dad	Chest Supported Row	1	90	r1_3		
Pre-loaded	brian	ISO-Lateral High Row	4	270	r4_7		
Pre-loaded	dad	ISO-Lateral High Row	8	70	r8_12		
Pre-loaded	brian	Iso-Lateral Front Lat Pulldown	2	115	r1_3		
Pre-loaded	dad	Iso-Lateral Front Lat Pulldown	2	55	r1_3		
